id_municipio,ano,mortalidade_1,mortalidade_5,taxa_freq_liquida_pre,indice_gini,prop_pobreza_extrema_criancas,prop_pobreza_criancas,prop_vulner_pobreza_criancas,taxa_agua_esgoto_inadequados,taxa_criancas_fora_escola_4_5
2408607,1991,80.09,104.23,11.16,0.69,73.61,84.19,91.54,79.79,NA
2410306,2000,55.13,70.86,52.67,0.77,66.77,83.25,93.1,56.95,44.49
2410801,1991,82.58,107.32,48.11,0.72,86.24,92.85,99.04,17.91,NA
2414308,2010,31.9,34.26,43.51,0.36,4.93,18.1,59.51,0,1.44
2414902,1991,76.47,99.72,60.4,0.69,82.58,92.72,95.08,61.75,NA
2415008,2000,51.69,66.56,53.82,0.72,46.92,77.26,87.74,43.21,46.18
2500106,2000,55.93,71.56,45.12,0.71,66.99,86.96,95.61,10.02,34.95
2500577,1991,85.52,110.64,15.3,0.37,77.48,98.43,100,99.63,NA
2502201,1991,86.6,111.97,0,0.69,78.68,91.47,93.02,68.42,NA
2503209,2010,16,17.25,62.11,0.7,8.48,24.66,56.55,1.34,13.53
2504108,1991,58.88,77.34,55.87,0.72,74.54,90.03,96.82,76.76,NA
2505279,1991,101.58,130.22,0,0.83,100,100,100,35.46,NA
2511905,2000,47.59,61.18,28.5,0.69,40.06,79.24,93.48,21.4,44.58
2512036,2000,67.52,85.81,15.15,0.7,67.16,85.85,96.45,10.07,53.38
2512606,1991,96.52,124.09,12.27,0.32,77,97.26,99.75,95.78,NA
2512754,1991,83.15,107.72,0,0.36,58.85,90.07,97.14,46.66,NA
2512762,1991,93.18,120.03,30.89,0.36,70.7,96.84,97.91,30.65,NA
2513158,1991,89.24,115.21,13.78,0.37,56.29,91.64,99.67,61.81,NA
2513307,1991,58.88,77.34,16.69,0.92,100,100,99.79,56.79,NA
2515930,1991,61.9,81.17,6.27,0.36,60.2,94.4,98.5,23.12,NA
2601409,1991,63.66,83.81,32.44,0.73,61.08,86.25,95.06,19.84,NA
2605459,1991,30.18,40,72.18,0.36,0,0,30.32,1.09,NA
2609154,2000,87.32,96.42,13.64,0.71,72.27,78.31,88.04,10.71,75.07
2609907,2000,62.1,68.77,16.2,0.72,58.27,79.55,90.77,12.16,68.32
2611533,2000,73.83,81.64,29.68,0.72,71.3,82.31,93.17,5.85,49.81
2611705,2000,73.07,80.81,19.86,0.72,52.1,78.83,92.65,20.5,59.61
2612455,2000,57.74,63.97,17.53,0.72,71.01,89.15,95.28,7.15,72.14
2613008,2000,55.42,61.41,11.44,0.75,47.36,78.41,92.59,21.78,82.43
2615607,2000,65.9,72.94,21.45,0.77,44.91,70.12,85.91,42.46,70.01
2701209,2000,54.52,68.99,29.8,0.69,68.32,87.97,94.77,53.54,61.51
2702801,1991,92.5,116.34,12.34,0.37,53.25,90.11,97.97,58.41,NA
2705408,2000,55.2,69.84,27.56,0.82,75.01,90.95,96.13,30.1,54.61
2706406,2000,44.34,56.27,38.71,0.71,65.05,85,92.02,17.31,49.92
2707107,2000,43.69,55.63,20.37,0.71,47.38,70.38,80.79,10.65,66.79
2707800,1991,100.56,125.9,8.14,0.36,44.58,83.86,97.29,38.2,NA
2708402,2000,67.4,84.99,15.07,0.72,80.51,91.01,96.87,33.97,75.48
2709202,2000,51.11,64.75,25.2,0.75,81.87,91.38,95.51,18.85,65.16
2902500,2000,52.02,66.57,19.15,0.7,67.29,83.47,94.36,13.7,56.58
2902906,2000,47.63,61.14,5.91,0.35,27.78,74.76,95.97,31.11,86
2903805,1991,70.34,90.11,0,0.81,100,100,99.26,60.48,NA
2904506,2000,46.02,58.94,38.33,0.69,71.5,87.6,94.35,15.63,44.93
2904605,1991,66.45,85.23,16.89,0.71,43.37,70.63,86.33,28.47,NA
2904753,2000,45.71,58.61,7.69,0.72,76.05,87.75,96.03,4.69,73.17
2905602,1991,80.22,102.46,24.29,0.69,65.2,84.86,94.02,30.78,NA
2905909,1991,82.17,104.89,9.96,0.84,84.98,94.85,97.59,83.7,NA
2906808,1991,102.13,129.6,6.1,0.7,73.87,90.97,97.48,63.65,NA
2906907,2000,43.01,54.98,28.51,0.72,31.29,67.52,87.24,27.13,54.53
2907707,1991,94.17,119.78,20.5,0.7,79.15,94.69,98.33,52.29,NA
2908705,1991,57.53,73.99,11.57,0.72,71.75,91.16,97.89,33.08,NA
2911105,1991,65.79,84.4,31.15,0.74,66.78,84.7,91.51,16.44,NA
2911105,2000,44.73,57.38,42,0.8,54.4,82.33,91.02,2.59,32.75
2911303,1991,80.85,103.24,21.07,0.7,59.33,87.94,95.88,24.9,NA
2911808,1991,81.67,104.27,10.01,0.69,62.78,88.65,95.23,26.22,NA
2912301,1991,70.58,90.41,4.61,0.79,64.78,90.02,93.29,19.34,NA
2913903,2010,19.8,21.34,50.4,0.69,20.96,44.97,72.6,4.53,20.15
2918753,1991,55.15,70.98,3.74,0.77,90.76,96.84,98.85,4.86,NA
2918902,1991,79.57,101.65,22.15,0.72,45.39,68.57,86.11,21.62,NA
2919553,1991,61.34,78.79,0,0.71,25.46,52.03,71.53,20.74,NA
2920452,2000,36.3,46.7,28.4,0.69,72.78,86.62,94.89,10.17,39.43
2920700,1991,62.66,80.46,2.48,0.76,69.86,89.2,96.67,19.6,NA
2920700,2000,41.73,53.58,18.28,0.71,53.87,87.5,96.75,23.93,72.98
2920700,2010,18.9,20.42,48.79,0.71,30.83,60.57,84.51,20.05,19.08
2922409,2000,50.83,64.76,34.36,0.7,40.35,72.5,89.97,3.42,57.18
2923407,2000,37.21,47.89,10.8,0.76,60.87,84.88,95.3,19.06,71.62
2923605,2000,41.62,53.59,46.67,0.73,40.79,66.35,88.4,17.14,39.24
2927200,1991,58.34,75.01,3.61,0.72,69.31,87.72,94,36.34,NA
2929255,2000,65.05,82.38,34.51,0.73,53.72,78.88,94.65,28.34,41.22
2930006,1991,60.43,77.64,30.19,0.69,51.5,83.27,92.48,31,NA
2931053,1991,52.39,67.49,17.24,0.71,75.98,83.13,93.78,64.47,NA
2931509,1991,66.99,85.9,5.47,0.72,79.56,91.48,95.45,72.39,NA
2932606,1991,53.48,68.87,18.36,0.86,72.65,90.52,95.87,31.11,NA
3101409,2010,17.3,20.12,35.77,0.35,0,6.77,34.18,0,45.78
3101706,1991,47.68,60.07,11.31,0.69,46.29,74.43,86.63,13.63,NA
3102407,2000,29.93,32.75,33.56,0.73,57.1,82.66,93.95,28.64,64.59
3103900,2010,13.4,15.64,74.54,0.36,0.18,2.74,30.57,0.03,9.23
3105301,2010,18.4,21.34,68.81,0.34,0,8.03,33.15,0,14.45
3108255,2000,44.61,48.76,19.87,0.7,78.1,90.4,94.39,3.83,76.08
3109303,2000,33.81,36.99,20.37,0.7,21.22,49.72,75.63,10.34,69.24
3109808,2010,13.8,16.07,61.21,0.35,0,4.92,25.39,1.29,1.47
3114402,2000,17.89,19.6,17.73,0.71,38.2,93.95,100,1.72,81.26
3115805,2000,28.49,31.18,35.23,0.72,30.06,76.68,98.57,2.39,39.88
3116159,2000,31.6,34.58,15.94,0.71,50.51,77.34,91.68,8.55,80.03
3118106,1991,38.89,50.95,5.63,0.69,73.56,93.37,96.78,20.46,NA
3118502,2010,18,20.92,65.7,0.37,7.99,23.95,60.63,0.79,18.2
3119955,2010,19.2,22.28,64.26,0.32,2.12,6.72,38.12,3.47,21.24
3120607,1991,37.19,48.76,21.78,0.78,42.99,72.22,86.44,4.97,NA
3121258,1991,29.16,38.42,24.76,0.34,6.71,20.69,58.35,3.55,NA
3122355,1991,57.6,74.62,8.73,0.35,37.58,78.41,97.21,4.39,NA
3122405,1991,30.63,40.33,54.82,0.71,33.2,64.69,87.15,1.49,NA
3123403,1991,27.85,36.72,44.19,0.37,20.49,48.57,67.48,0.85,NA
3123403,2000,22.06,24.16,79.69,0.33,5.46,24.22,56.95,0.85,20.31
3124401,2010,14.1,16.42,62.67,0.37,4.47,17.33,45.22,0.98,37.33
3124609,1991,34.59,45.43,12.12,0.7,36.33,79.24,91.56,8.44,NA
3125002,2010,16.3,18.98,80.32,0.37,1.9,14.45,59.48,0.67,14.01
3126208,2000,30.15,32.99,23.32,0.72,44.84,66.8,83.56,12.89,74.66
3130200,2010,14.5,16.88,55,0.37,0.45,11.05,34.56,0.4,9.62
3135308,2010,14.4,16.74,62.53,0.37,2.08,14.29,33.11,0.09,19.75
3135704,2010,13.5,15.67,38.92,0.78,6.01,31.38,67,9.7,47.93
3136009,1991,51.76,67.27,0,0.71,67.95,87.09,94.06,25.06,NA
3136009,2000,39.1,42.76,27.3,0.69,53.11,83.31,94.35,7.59,70.46
3138807,1991,30.51,40.16,44.34,0.71,18.68,49.54,75.5,1.05,NA
3139300,1991,49.78,64.79,6.63,0.74,51.06,77.57,88.49,21.77,NA
